from,times,to
Гарри Поттер - односторонний.,1.0,Северус Снейп
Ханна Аббот,1.0,Эрни Макмиллан
Гарри Поттер,1.0,Северус Снейп и таинственная фея
Все персонажи из книги.,1.0,ОМП
Мария Снейп,1.0,Северус Снейп
Клавдия Саймоновна Коули,1.0,Филиус Флитвик
Ани,1.0,Том Марволо Реддл
Гермиона Грейнджер,1.0,Люциус Малфой I
Алисия,1.0,Драко Малфой
Том Реддл,1.0,Хезер Элмерс
Джордж.,1.0,Фред
Смерть,1.0,Флёр Делакур
Криштиану Роналду,1.0,Лионель Месси
Леандро Паредес,1.0,Себастьян Дриусси
Кармен,1.0,Когтерн
???,1.0,РУ
dark!Гарри Поттер,1.0,Тейт Лэнгдон
Гарри Поттер,1.0,Т-Х
Гарри Поттер,1.0,Драко; косвенно шалит Иисус.
Ли Джордан,1.0,Пэнси Паркинсон
Гарри Поттер,1.0,Курока
Аллин Снейп,1.0,Рьяна Поттер
Гробыня,1.0,Сириус
Василиса,1.0,Фэш и остальные...
Гарри Поттер,1.0,Джек Харкнесс
Гермиона и др.,1.0,Драко Малфой
Канон + Нико,1.0,Рейна
Анабель Блэк,1.0,Драко Малфой
Джеймс Поттер,1.0,Мелони Хейл
Джордж Уизли,1.0,Люциус Малфой
Джинни,1.0,Сириус
Оливер Вуд,1.0,Ханна Аббот
В,1.0,ГП
Долорес Амбридж,1.0,Рита Скитер
В прошлом: Фред,1.0,ОЖП
 по мере написания,1.0,Гарри Поттер 
Роуз,1.0,Фред
Гермиона Грейнджер - основной. Все остальные - канон,1.0,Драко Малфой
Инга Эванс,1.0,Ремус Люпин
 ОЖП,1.0,Фред Уизли 
Дерек Хейл,1.0,Кейт Арджент
Лидия Мартин,1.0,Эйден
 гермиона,1.0,драко
Кэра,1.0,Лютер
Аладдин,1.0,Гарри Поттер
Вальбурга Блэк,1.0,Сигнус Блэк III
Митч,1.0,Скотт
Орочимару,1.0,Сасори Акасуна
Геллерт Гриндельвальд,1.0,Упоминание!Альбус Дамблдор
 Александра Остин,1.0,Джордж Уизли
Когтевран!Майк Уилер,1.0,Слизерин!Макс Мэйфилд
Гарри\Том,1.0,Том Марволо Реддл
 Луна; Оно.,1.0,Драко 
Баки Барнс,1.0,Тони Старк
НЖП,1.0,Северус
Гермиона Грейнджер и остальные персонажи.,1.0,Драко Малфой
Альк Хаскиль,1.0,Рыска
Арр'акктур тор'Ордвист Ш'эонелл,1.0,Вольха Редная
Корвус Лестрейндж V,1.0,Ожп
Меркуцио,1.0,Тибальт Капулетти
Гарри Поттер,1.0,Феликс Вольтури
 Ребекка Джордан,1.0,Фред Уизли
Луи Уизли,1.0,ОЖП
Мерлин,1.0,Моргана Ле Фэй
Ксенофилиус Лавгуд,1.0,Рон Уизли
!Северус Снейп,1.0,ОЖП
Луна Лавгуд,1.0,Парвати Патил
Астра Блэк,1.0,Сириус Блэк
alt!Аргус Филч,1.0,alt!Геллерт Гриндельвальд
alt!Абраксас Малфой,1.0,alt!Том Марволо Реддл
alt!Северус Снейп,1.0,alt!Сириус Блэк III
Поттэр,1.0,Эванс
Драко Малфой,1.0,сантехник
ГП. школьные и оригинальные персонажи.,1.0,ДМ
???,1.0,Том Марволо Реддл
Гг,1.0,ОЖП
Аляска,1.0,Телвин
fem!Блейз Забини,1.0,Драко Малфой
Альбус Дамблдор,1.0,ОМП
Гарри Поттер и другие...,1.0,Мегг
Нарцисса,1.0,Рабастан
Все,1.0,все
 Марлин Маккинон,1.0,Сириус Блэк 
Алекс Слизерин - Гриффиндор - Певерелл,1.0,Дафна гринграсс
Лили,1.0,Регулус
Беллатриса Лестрейндж,1.0,Мистер Грейнджер
Виндемиатрикс Паффоподен,1.0,Нарцисса Малфой
Абраксас Малфой,1.0,Лемирия Сендерелл
light!Геллерт Гриндельвальд,1.0,Лилиан Эванс (Лу Гуру)
Луна Лавгуд (Люцифер),1.0,Ремус Лу Гуру
Джеймс Поттер,1.0,Лилит Люцифер
Антонин Долохов,1.0,Лиана Мелери (Корфф)
Аберфорт Дамблдор,1.0,Аластор Грюм
Гэрриертэ Певерелл (Ля-Фей),1.0,Драко Малфой
Барти,1.0,Рита
 Беллатриса Лестрейндж,1.0,Антонин Долохов 
Гарольд «Гарри» Озборн,1.0,Питер Бенджамин Паркер
Мари-Виктуар Уизли,1.0,ОМП
 Драко Малфой,1.0,Невилл Лонгботтом 
Долорес Амбридж,1.0,Сириус Блэк
Блейз Забини.,1.0,Канон. Гермиона Грейнджер
adult!Том Марволо Реддл,1.0,dark!Гарри Поттер
Кларк Гриффин,1.0,Лекса
Луна,1.0,Рейвен Рейес
Линкольн,1.0,Октавия Блейк
Кисаме Хошигаки,1.0,Мей Теруми
Кристэлла Хладная,1.0,Маркус Флинт
Гарри Поттер,1.0,Драко Малфой; Мариам; Блейз Забини
 Дафна Гринграсс,1.0,Гарри Поттер 
 Гарри Поттер,1.0,Том Реддл
ОЖП Агнесса Певерелл,1.0,ОМП Ингермус Вэльс
Аврора Синистра,1.0,Кингсли Шеклболт
Дафна Гринграсс,1.0,Эйвери
Меда,1.0,Тед
Микаэль,1.0,Селестина Святова
Рик Стригой,1.0,Татьяна Окрайчик
Иуда,1.0,Маргарита
Аня Поттер,1.0,Драко Малфой
\Гарри Поттер,1.0,Тролль
девушка,1.0,парень
Гермиона Грейнджер,1.0,Питер Пэвенси
Джош Дан,1.0,Лина Терссон
Дженна Джозеф,1.0,Тайлер Джозеф
Виктория Уизли,1.0,Тедди Люпин
Изабелл Уотсон,1.0,Сириус Блэк III
 Гарри Поттер,1.0,Том Риддл
Лоркан Скамандер,1.0,Роза Уизли
Северус Снейп,1.0,лимонная долька
Велимира,1.0,Гарри Поттер
Годрик Гриффиндор,1.0,Люциус Малфой
fem!Драко Малфой,1.0,Невилл Лонгботтом
Лаванда Браун,2.0,Невилл Лонгботтом
Джейн Эвердин,1.0,Фред Уизли
Сириус Блэк ,1.0,Хэспер Гамп
Джинни Уизли,1.0,Уэйд Уилсон
Гермиона Грейнджер,1.0,Гранд-адмирал Траун
 Джордж,1.0,Фред Гермиона 
fem!Пак Чимин,1.0,Мин Юнги
Гари Поттер,1.0,Гермиона Грейнджер
Гарри Поттер и другие персонажи,1.0,Северус Снейп
 Дочь Ремуса Люпина,1.0,Драко Малфой
Джеймс Сириус Поттер,1.0,Маргарет Элизабет Ховард
Беллатрикс Лестрейндж,1.0,Нимфадора Тонкс 
Александр Шепс,1.0,Ася Шефт
 Селена Принц,1.0,Воландеморт
Молли Уизли,1.0,Рабастан Лестрейндж
Неро,1.0,намёк на Муза
Гермиона Грейнждер,1.0,Фред Уизли
Августа Лонгботтом,1.0,Антонин Долохов
Гарри Поттер,1.0,Гермиона Грейнджер и другие
Беллатрикс.,1.0,Лорд Волан-де-Морт
Луна,1.0,Панси
 Таня Гроттер;,1.0,Гарри Поттер
Рейлин Кэррол,1.0,Северус Снейп
Дэвид Нолан,1.0,Мэри Маргарет Бланшар
Гермиона Грэнджер,1.0,Рон Уизли
fem!Альбус Дамблдор,1.0,fem!Геллерт Гриндевальд
Кагеяма Тобио,1.0,ОЖП
ОЖП,1.0,Цукишима Кей
Алиса,1.0,Мэйси
Мастер,1.0,Мэйси
Мира Рид,1.0,Рон Уизли
Аша Грейджой,1.0,Джейме Ланнистер
de-aged!Альбус Дамблдор,1.0,de-aged!Геллерт Гриндевальд
 гарем,1.0,Гарри Поттер 
Антон и каноны,1.0,Ника
Северус Снейп,1.0,Северус Снейп=Снарри)
 Барти Крауч,1.0,Лаванда Браун 
ГГ,1.0,ПЛ
Алиса Поттер,1.0,Северус Снейп
Лили,2.0,Северус Снейп
Барти Крауч мл.,1.0,Нарцисса Малфой
Гарри Поттер,1.0,И все все все
Беллатриса Лестрейндж,1.0,Руфус Скримджер
ДП,1.0,ЛП
dark!Гарри Поттер,1.0,Смерть
Беллатрикс,1.0,Лорд Волдеморт
Frank,1.0,Gerard
Аластор Грюм,1.0,Северус Снейп
Гарри... или наоборот,1.0,Северус
Гермиона Грейнджер,1.0,Джордж Уизли и остальные
Абраксас Малфой,1.0,Вальбурга Блэк
Катсуки Бакуго,1.0,Очако Урарака
Гилдерой Локхарт,1.0,Сивилла Трелони
Рози,1.0,Скорпиус
ОЖП (Абигайль Малфой),1.0,ОЖП (Кэтрин Реддл)
 Гермиона и др.,1.0,Северус
Джеймс Поттер,1.0,Лили Эванс; Северус Снейп
 Рон Уизли,1.0,Люциус Малфой
Полумна,1.0,мозгошмыг
Аврил Лавин,1.0,Чад Крюгер
Гермиона Грейнджер,1.0,Септимус Малфой
Кёджуро Ренгоку,1.0,Танджиро Камадо
Зеницу Агацума,1.0,Тенген Узуй
Муичиро Токито,1.0,Сенджуро Ренгоку
Мицури Канроджи,1.0,Обанай Игуро
Аказа,1.0,Коюки
Панси Паркинсон,1.0,Эрни Макмиллан
Норман,1.0,Эмма
Минерва Макгонагалл,1.0,кот
Беатрис,1.0,Драко Малфой
Беатрис,1.0,Тобиас Итон Джонсон
Северус,1.0,Чарли
Геллерт Гриндельвальд,1.0,Тоби Регбо
Гермиона Грейнджер,1.0,Емицу Савада
Гермиона Грейнджер,1.0,Нана Савада
Обито Учиха,1.0,Северус Снейп
Саске Учиха,1.0,Тсунаёши Савада
Альбус Дамблдор,1.0,Руфус Скримджер
